Rank,Model,Prompt Variation (PV) Overall Acc,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_Python,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_json,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_verbose_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_True_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_python_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_xml_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_classic_return_format_concise_xml,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_markdown_prompt_style_classic_return_format_Python,function_doc_format_json_has_available_tools_tag_False_has_tool_call_tag_False_prompt_format_plaintext_prompt_style_experimental_return_format_Python
1,Qwen_Qwen3-32B,79.20%,78.27%,80.06%,85.14%,78.33%,79.40%,86.85%,76.80%,76.76%,82.82%,77.03%,78.54%,81.60%,69.32%,71.75%,78.53%,76.43%,74.08%,86.31%,78.17%,76.92%,79.85%,74.47%,74.98%,79.99%,89.35%,87.42%
2,uiuc-convai_CoALM-405B,78.62%,73.93%,78.52%,63.37%,82.99%,82.68%,86.27%,78.88%,80.37%,80.08%,79.54%,79.40%,80.23%,70.58%,79.23%,84.48%,70.73%,78.41%,83.23%,66.37%,78.37%,83.96%,65.58%,78.96%,83.96%,87.11%,86.82%
3,DeepSeek-R1 (Prompt),77.68%,77.52%,75.13%,89.18%,71.46%,75.78%,84.11%,73.09%,74.38%,81.43%,73.61%,74.68%,83.48%,71.74%,70.03%,77.50%,73.81%,74.19%,80.90%,70.92%,73.09%,79.27%,77.21%,78.63%,86.81%,84.61%,87.17%
4,mistral-large-2411 (Prompt),77.62%,77.89%,75.51%,84.94%,79.64%,73.26%,80.75%,73.15%,75.33%,79.82%,73.46%,73.83%,77.64%,75.39%,79.24%,83.07%,73.04%,76.75%,81.32%,76.00%,78.10%,78.58%,74.92%,78.52%,78.47%,74.06%,85.54%
5,Gemini-2.5-Pro-Preview-05-06 (Prompt),77.24%,61.31%,68.74%,76.90%,79.15%,72.28%,84.42%,76.46%,75.83%,84.01%,78.65%,73.55%,82.67%,70.68%,75.40%,84.81%,72.22%,76.11%,81.07%,73.59%,76.40%,80.19%,73.48%,75.85%,82.53%,85.40%,86.44%
6,Grok-3-mini-beta (Prompt),77.00%,75.33%,72.84%,82.31%,75.73%,73.17%,81.63%,72.19%,73.57%,78.84%,71.32%,74.01%,82.59%,74.33%,71.50%,86.54%,74.19%,73.85%,82.16%,68.62%,75.42%,83.84%,75.55%,73.88%,83.97%,83.66%,81.06%
7,GPT-4.1-2025-04-14 (Prompt),76.85%,76.33%,71.67%,83.21%,76.79%,77.86%,85.15%,74.80%,73.84%,79.45%,74.65%,73.72%,79.45%,74.63%,78.25%,84.28%,68.02%,72.01%,74.47%,74.34%,78.83%,85.75%,65.15%,72.01%,72.96%,85.00%,85.52%
8,GPT-4o-mini-2024-07-18 (Prompt),76.07%,78.40%,73.84%,83.72%,75.25%,75.95%,81.85%,75.80%,75.65%,79.10%,74.93%,76.22%,80.57%,63.53%,77.27%,84.17%,68.17%,75.67%,80.28%,61.12%,74.45%,79.70%,63.64%,73.88%,77.89%,81.74%,85.07%
9,o3-2025-04-16 (Prompt),75.93%,75.65%,72.50%,79.61%,75.84%,72.53%,82.18%,73.80%,75.48%,79.37%,74.36%,74.36%,80.57%,70.01%,75.34%,74.44%,68.35%,70.11%,80.86%,74.49%,75.44%,81.98%,71.84%,73.96%,80.39%,80.07%,80.61%
10,o4-mini-2025-04-16 (Prompt),75.01%,70.75%,68.93%,76.55%,71.32%,72.30%,80.71%,68.28%,74.13%,79.86%,75.88%,74.26%,77.72%,70.19%,72.15%,82.40%,70.57%,73.36%,78.47%,68.34%,70.76%,80.94%,73.92%,74.21%,83.00%,81.89%,79.37%
11,GPT-4o-2024-11-20 (Prompt),74.32%,71.52%,75.77%,76.87%,80.97%,80.52%,84.43%,68.61%,70.90%,72.21%,73.44%,74.54%,81.93%,67.22%,66.45%,72.54%,65.21%,72.68%,77.26%,68.41%,70.16%,78.78%,67.55%,73.98%,75.54%,80.95%,84.01%
12,microsoft_phi-4,73.34%,76.86%,73.01%,66.20%,72.11%,72.90%,65.99%,71.26%,73.26%,82.04%,71.82%,73.28%,83.06%,66.24%,72.22%,74.80%,71.10%,70.85%,75.23%,72.35%,72.97%,79.91%,75.65%,75.74%,81.57%,76.88%,59.60%
13,Gemini-2.0-Flash-001 (Prompt),72.46%,76.18%,77.79%,83.09%,72.57%,78.06%,81.12%,77.83%,76.17%,82.44%,79.40%,76.64%,85.13%,46.46%,74.63%,79.90%,50.04%,71.72%,72.00%,48.22%,74.59%,80.45%,40.99%,73.10%,75.17%,72.51%,77.84%
14,meta-llama_Llama-3.1-70B-Instruct,72.34%,75.84%,75.72%,83.80%,75.46%,77.38%,84.21%,65.95%,58.33%,77.40%,60.11%,57.23%,77.03%,60.99%,74.97%,80.73%,57.76%,73.28%,80.97%,61.97%,72.38%,75.46%,64.57%,69.47%,76.01%,81.69%,82.12%
15,google_gemma-3-27b-it,71.97%,70.73%,70.04%,76.16%,78.37%,76.97%,83.37%,74.92%,77.26%,83.49%,77.01%,77.11%,81.95%,46.55%,50.79%,53.40%,58.09%,67.34%,69.16%,70.71%,73.47%,79.00%,71.40%,74.60%,79.82%,75.76%,73.75%
16,Qwen_Qwen2.5-32B-Instruct,71.63%,68.18%,75.20%,77.93%,68.49%,73.08%,77.39%,68.93%,70.29%,76.56%,70.14%,76.06%,76.75%,52.92%,63.55%,68.51%,63.52%,71.90%,75.50%,65.04%,74.96%,75.53%,65.81%,74.39%,73.86%,78.37%,79.45%
17,mistralai_Ministral-8B-Instruct-2410,71.00%,72.33%,72.48%,72.62%,72.48%,72.48%,72.48%,70.26%,69.96%,70.94%,70.80%,70.26%,70.11%,70.11%,70.11%,71.64%,69.96%,70.26%,70.11%,70.26%,70.40%,70.11%,70.26%,69.96%,70.11%,73.00%,72.48%
18,Gemini-2.0-Flash-Lite-001 (Prompt),70.43%,64.14%,59.27%,76.98%,61.35%,55.13%,62.78%,72.76%,71.91%,75.79%,78.52%,75.22%,80.16%,69.23%,72.74%,74.98%,75.72%,73.67%,79.72%,57.20%,64.90%,66.15%,68.25%,72.43%,73.38%,75.92%,72.96%
19,Qwen_Qwen3-8B,69.35%,79.58%,78.75%,83.02%,75.60%,77.02%,84.45%,70.18%,70.83%,73.72%,77.65%,74.58%,81.34%,39.09%,60.14%,53.07%,49.00%,62.52%,56.30%,59.07%,68.71%,70.05%,56.72%,70.88%,66.23%,84.74%,79.96%
20,claude-3.5-haiku-20241022 (Prompt),64.15%,70.61%,63.13%,77.00%,71.79%,68.46%,80.60%,71.98%,72.81%,79.50%,73.65%,72.08%,80.60%,57.93%,57.48%,56.53%,65.57%,60.52%,60.07%,40.74%,43.47%,32.75%,51.68%,54.01%,43.92%,79.37%,81.70%
21,Claude-3.7-Sonnet-20250219 (Prompt),63.21%,75.63%,74.09%,82.35%,77.15%,75.76%,80.95%,71.76%,76.64%,79.72%,71.62%,76.67%,79.04%,31.44%,54.58%,49.69%,39.02%,53.60%,49.92%,33.73%,53.13%,51.74%,40.04%,50.90%,49.56%,81.41%,83.44%
22,meta-llama_Llama-3.1-8B-Instruct,43.69%,34.63%,59.54%,54.23%,69.10%,67.54%,72.53%,65.33%,55.69%,66.31%,66.75%,58.24%,68.45%,2.75%,0.56%,0.00%,39.79%,12.16%,23.80%,4.69%,9.52%,6.35%,43.85%,51.53%,56.25%,74.89%,71.38%
23,watt-ai_watt-tool-70B,41.98%,34.65%,58.65%,46.16%,78.53%,81.74%,81.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.62%,68.08%,62.73%,31.41%,44.64%,41.67%,41.59%,60.92%,51.24%,32.16%,37.21%,29.76%,84.35%,84.21%
24,Team-ACE_ToolACE-2-8B,28.89%,29.18%,47.31%,36.42%,75.76%,73.33%,80.92%,0.00%,0.52%,0.00%,21.75%,42.26%,35.55%,10.79%,4.69%,8.90%,12.62%,4.14%,8.17%,7.58%,8.21%,9.47%,23.99%,23.74%,20.16%,83.25%,82.45%
25,uiuc-convai_CoALM-8B,26.67%,1.54%,8.62%,3.25%,72.24%,71.25%,78.20%,36.79%,27.51%,34.70%,63.51%,68.29%,70.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,78.35%,78.72%
26,uiuc-convai_CoALM-70B,21.59%,12.29%,4.98%,9.18%,71.99%,72.72%,74.88%,21.97%,33.30%,46.14%,13.63%,28.29%,21.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.02%,75.29%
27,BitAgent_BitAgent-8B,17.39%,11.75%,5.00%,17.77%,77.69%,79.78%,85.71%,0.67%,0.52%,0.00%,0.52%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,85.29%,86.96%
28,watt-ai_watt-tool-8B,17.30%,11.04%,5.00%,17.21%,77.55%,79.78%,84.18%,1.92%,0.94%,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,84.74%,86.96%